"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-07","0","0","0","0.0","0.70","3.48","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-08","0","0","0","0.0","0.86","1.04","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-09","0","0","0","0.0","0.46","2.54","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-10","0","0","0","0.0","0.65","3.43","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-11","0","0","0","0.0","1.68","4.78","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-12","17","4","12","11.9","1.51","6.27","17.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-01","17","4","11","7.0","1.57","4.70","18.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-02","8","3","4","3.1","0.90","2.66","7.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-03","2","4","3","1.7","0.44","2.17","5.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-04","4","2","12","10.8","1.10","3.42","13.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-05","0","0","0","0.0","0.70","2.57","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-06","0","0","0","0.0","2.94","13.20","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-07","0","0","0","0.0","1.78","4.22","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-08","0","0","0","0.0","1.51","2.22","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-09","0","0","0","0.0","0.51","1.57","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-10","0","0","0","0.0","1.12","3.19","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-11","0","0","0","0.0","1.56","3.42","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-12","4","3","1","1.4","0.38","1.28","5.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-01","9","2","4","2.7","1.44","5.03","4.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-02","16","4","18","11.5","1.59","5.00","22.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-03","0","0","0","0.2","2.24","9.72","0.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-04","0","0","0","0.0","2.08","6.87","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-05","0","0","0","0.0","0.81","2.95","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-06","0","0","0","0.0","0.50","1.07","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-07","0","0","0","0.0","0.27","1.07","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-08","0","0","0","0.0","1.06","3.28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-09","0","0","0","0.0","0.69","1.06","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-10","0","0","0","0.0","0.97","3.74","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-11","0","0","0","0.0","2.76","8.89","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-12","0","1","0","1.8","1.20","4.94","2.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01","15","7","12","5.9","0.57","2.31","21.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02","2","0","1","0.3","1.84","7.81","0.3"
