"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-01",,"4.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-02",,"2.41"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-03",,"4.76"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-04",,"4.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-05",,"3.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-06",,"2.50"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-07",,"2.21"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-08",,"2.91"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-09",,"4.03"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-10",,"4.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-11",,"2.54"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1977-12",,"6.20"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-01",,"8.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-02",,"2.87"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-03",,"2.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-04",,"1.80"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-05",,"4.50"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-06",,"1.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-07",,"1.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-08",,"4.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-09",,"1.30"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-10",,"3.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-11",,"2.21"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1978-12",,"3.63"
